Date,Country/Location,Rating,Author,Title,Body,Image links,Image Video Links,Verified Purchase,URL,Helpful count,Variation information,Styles
02/27/2023,United States,5,Ricardo Burgos,Excelente para viajar. Canasta inferior muy pequeña,La parte que reclina es un plus. El único pero es que la canasta de abajo es extremadamente pequeña. A penas cabe mi bolso. El coche es muy liviano. Lo cual es facil para cargar. Por lo de la canasta le doy 4 estrellas.,,,TRUE,https://www.amazon.com/gp/customer-reviews/R3LD0WMI18KQQU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,2,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
02/10/2023,United States,3,Matthew Crawford,Not horrible but not the best,"I needed a smaller stroller than my large Mockingbird stroller for traveling. I spent a lot of time researching different strollers. I ended up with this stroller after reading reviews. However, I am disappointed. It is not easy to open it back up. When it is closed, there is one part that does not click closed so it opens. It does not do good on bumps. I was really expecting more from baby jogger.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R34EC656U4VX6M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,1,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
02/02/2023,United States,5,Whitney,Awesome Travel Stroller,We bought this for the airport and it was a life saver. So light!!!,,,TRUE,https://www.amazon.com/gp/customer-reviews/R26VVJELDFNX7A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/27/2023,United States,2,Lolo,A disappointing stroller from a great brand,"I am a BIG Baby Jogger stroller fan. I own 2 different models, and I use them constantly. They are sturdy, reliable, and the customer service from Baby Jogger cannot be beat. When it came time to try an ultra-compact stroller for an upcoming trip, I was absolutely sure that the City Tour 2 would be the right stroller for us.I was so disappointed to get the stroller and experience how wobbly it is. The front wheels clack loudly and shake with each roll, even on a totally smooth indoor surface. I checked the wheels several times to make sure it wasn't an issue with installation - it's just how they are made.Compared to other ultra-compact strollers we tried, the folding mechanism is also cumbersome and awkward. I also wish that it would fold in a way that didn't require the removal of the wheels to fit in an airplane's overhead bin.On the bright side, the seat seems very comfortable and sturdy. The brake is easy to use. The fabric seems sturdy. It's offered at a great price point, and the inclusion of a travel bag is a great perk.Basically, this is an otherwise great stroller with an absolutely terrible set of wheels and a bad folding mechanism. Using this stroller on a busy travel day would drive me crazy. Definitely returning.",,,TRUE,https://www.amazon.com/gp/customer-reviews/R1M92WIMI8YRGO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,4,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/20/2023,United States,5,YeJin Lee,Bought it during sale for under $200 and very satisfied,My friend highly recommended this stroller saying its easy to maneuver even on Europe’s rocky roads(also with reasonable price). I bought graco car seat as well to use as a travel system and it fits perfectly. The only thing is that it would have been nice if the weather shield was included as a set.,https://m.media-amazon.com/images/I/812yl--D2tL._SY1600.jpg,,TRUE,https://www.amazon.com/gp/customer-reviews/R1UL9LB5W9JVS3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,5,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/20/2023,United States,5,POPA OANA MIHAELA,We like it,Very easy to maneuver. Very spacious and easy to clean.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RKRT0Y45VSPGZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/09/2023,United States,5,Sierra Goslee,Simple but Wonderful,We needed a compact strolled and this is perfect it reclines almost all the way down and moves so smooth. The only thing that I didn’t love is that it doesn’t have cup holders but I just bought an attachment for that. Overall very happy with it,,,TRUE,https://www.amazon.com/gp/customer-reviews/R17M2J6C85C7FV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/08/2023,United States,5,veysel uysal,The product's shipping time is very successful and a nice product,The product's shipping time is very successful and a nice product,,,TRUE,https://www.amazon.com/gp/customer-reviews/R1FWUF5C81C13I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
01/04/2023,United States,3,Francena Ottley,Lightweight however the front wheels are no good,Love how light weight the stroller is and easy to unfold and open. However the front wheels suck. I haven’t even had it for a year yet and it’s already giving me problems with turning. They keep getting stuck and locking up.,,,TRUE,https://www.amazon.com/gp/customer-reviews/RP1J1EM0VRDI3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,0,B07PMSS9NF,Style: City Tour 2 Double Stroller | Color: Pitch Black
01/01/2023,United States,5,Maria Pimentel,The best!!!!,"El mejor coche viajero que existe!!!Mi hija tiene 2 años y pesa 18kg y cabe Perfecto en el coche.Es cómodo, se reclina suficiente, es liviano, fácil de cerrar y cargar.Bajo mi experiencia y necesidad lo recomiendo!!",,,TRUE,https://www.amazon.com/gp/customer-reviews/R2HHJSM4FP324Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07NZPT3TR,2,B07NZPT3TR,Style: City Tour 2 Stroller | Color: Pitch Black
